"","indicator_name","respondant_name","indicator_num","measure","value","cert_val_funct","vf.sentance","weight","cert_weight","sheet_name","weight.name","ind.axis.title"
"19","Anthropogenic damage","Chris R",14,10,50,"4","in some amounts some damage is tolerable; at greater percentages condition quickly drops off",66.6666666666667,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"20","Anthropogenic damage","Rhiannon Hoy",14,0,100,"3","Woodland condition decreases with increases in anthropogenic damage, 10% damage across the woodland reduces it's condition and above 10% is bad condition.",100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"21","Anthropogenic damage","Daniel Ai",14,60,0,"5","The higher the percentage of woodland with anthropogenic damage the worse the woodland condition",30,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"22","Anthropogenic damage","Jim Sm-Wr",14,10,100,"2","Some disturbance can be desirable, hence 10% still scoring 100. Beyond that, impact is perhaps expotential/hits a threshold at which ecological collapse occurs and only a few (undesirable) species persist/dominate?",89.4736842105263,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"23","Anthropogenic damage","David V",14,20,15,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"24","Anthropogenic damage","Liam Pl",14,60,35,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"25","Anthropogenic damage","Peter Lo",14,60,10,"5","conditions worsenswith level of damage",90,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"26","Anthropogenic damage","Martin Hu",14,100,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"27","Anthropogenic damage","Jim Sm-Wr",14,40,80,"2","Some disturbance can be desirable, hence 10% still scoring 100. Beyond that, impact is perhaps expotential/hits a threshold at which ecological collapse occurs and only a few (undesirable) species persist/dominate?",89.4736842105263,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"28","Anthropogenic damage","David L",14,0,100,"4","A high percentage of damage is bad. Small to no damage is good. In between is a variation of acceptable.",50,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"29","Anthropogenic damage","Dean K",14,70,0,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"30","Anthropogenic damage","Chris R",14,0,100,"4","in some amounts some damage is tolerable; at greater percentages condition quickly drops off",66.6666666666667,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"31","Anthropogenic damage","Dave Bo",14,60,40,"5","Strongly links to overall condition. Issue for the WT in that it will highlight the increasing negative impact from visitors. And their dogs.",100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"32","Anthropogenic damage","Martin Hu",14,65,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"33","Anthropogenic damage","David V",14,10,20,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"34","Anthropogenic damage","Karen Ho",14,50,20,"2",NA,80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"35","Anthropogenic damage","Daniel Ai",14,80,0,"5","The higher the percentage of woodland with anthropogenic damage the worse the woodland condition",30,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"36","Anthropogenic damage","Daniel Ai",14,100,0,"5","The higher the percentage of woodland with anthropogenic damage the worse the woodland condition",30,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"37","Anthropogenic damage","Martin Hu",14,90,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"38","Anthropogenic damage","Martin Hu",14,95,0,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"39","Anthropogenic damage","Rich Br",14,0,100,"2",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"40","Anthropogenic damage","Adam Th",14,0,100,"5",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"41","Anthropogenic damage","Adam Th",14,20,40,"5",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"42","Anthropogenic damage","Adam Th",14,40,10,"5",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"43","Anthropogenic damage","Dean K",14,80,0,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"44","Anthropogenic damage","Dean K",14,90,0,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"45","Anthropogenic damage","David V",14,5,95,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"46","Anthropogenic damage","Kylie Jo-Ma",14,25,75,"3","Damage implies that it is inherently negative - human impacts are often negative but not necessarily?!",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"47","Anthropogenic damage","Kylie Jo-Ma",14,50,50,"3","Damage implies that it is inherently negative - human impacts are often negative but not necessarily?!",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"48","Anthropogenic damage","Jim Sm-Wr",14,0,100,"2","Some disturbance can be desirable, hence 10% still scoring 100. Beyond that, impact is perhaps expotential/hits a threshold at which ecological collapse occurs and only a few (undesirable) species persist/dominate?",89.4736842105263,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"49","Anthropogenic damage","Martin Hu",14,10,75,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"50","Anthropogenic damage","Martin Hu",14,15,55,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"51","Anthropogenic damage","Jim Sm-Wr",14,70,50,"2","Some disturbance can be desirable, hence 10% still scoring 100. Beyond that, impact is perhaps expotential/hits a threshold at which ecological collapse occurs and only a few (undesirable) species persist/dominate?",89.4736842105263,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"52","Anthropogenic damage","Jim Sm-Wr",14,100,0,"2","Some disturbance can be desirable, hence 10% still scoring 100. Beyond that, impact is perhaps expotential/hits a threshold at which ecological collapse occurs and only a few (undesirable) species persist/dominate?",89.4736842105263,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"53","Anthropogenic damage","Peter Lo",14,80,5,"5","conditions worsenswith level of damage",90,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"54","Anthropogenic damage","Peter Lo",14,100,0,"5","conditions worsenswith level of damage",90,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"55","Anthropogenic damage","Dean K",14,40,40,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"56","Anthropogenic damage","Dean K",14,50,30,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"57","Anthropogenic damage","Dean K",14,60,20,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"58","Anthropogenic damage","Kylie Jo-Ma",14,0,100,"3","Damage implies that it is inherently negative - human impacts are often negative but not necessarily?!",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"59","Anthropogenic damage","Dave Bo",14,40,60,"5","Strongly links to overall condition. Issue for the WT in that it will highlight the increasing negative impact from visitors. And their dogs.",100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"60","Anthropogenic damage","Nick RB",14,0,100,"4","adverse human associated damage reduces condition",80,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"61","Anthropogenic damage","Nick RB",14,100,0,"4","adverse human associated damage reduces condition",80,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"62","Anthropogenic damage","Liam Pl",14,0,100,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"63","Anthropogenic damage","Liam Pl",14,10,90,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"64","Anthropogenic damage","Oliver Moore",14,0,100,NA,NA,NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"65","Anthropogenic damage","Oliver Moore",14,25,75,NA,NA,NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"66","Anthropogenic damage","Oliver Moore",14,50,50,NA,NA,NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"67","Anthropogenic damage","Oliver Moore",14,75,25,NA,NA,NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"68","Anthropogenic damage","Oliver Moore",14,100,0,NA,NA,NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"69","Anthropogenic damage","Liam Pl",14,70,15,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"70","Anthropogenic damage","Adam Th",14,60,0,"5",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"71","Anthropogenic damage","Dave Bo",14,20,80,"5","Strongly links to overall condition. Issue for the WT in that it will highlight the increasing negative impact from visitors. And their dogs.",100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"72","Anthropogenic damage","Liam Pl",14,100,0,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"73","Anthropogenic damage","Adam Th",14,80,0,"5",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"74","Anthropogenic damage","Adam Th",14,100,0,"5",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"75","Anthropogenic damage","Karen Ho",14,60,0,"2",NA,80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"76","Anthropogenic damage","David V",14,50,10,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"77","Anthropogenic damage","Alasdair Fi",14,100,0,NA,"Woodlands which are heavily impacted by diffuse pollution lack the species diversity of those that have lower impacts or which are free of impacts. The function of many processes is also affected. The woodland edge may be impacted more, so the size of the wood and length of the edge may be important. Surrounding land use needs to be considered. Degree of impact is hard to assess, as with any assessment of what is missing.",75,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"78","Anthropogenic damage","Peter Lo",14,40,50,"5","conditions worsenswith level of damage",90,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"79","Anthropogenic damage","Dean K",14,0,100,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"80","Anthropogenic damage","Rich Br",14,25,60,"2",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"81","Anthropogenic damage","Rich Br",14,50,20,"2",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"82","Anthropogenic damage","Rich Br",14,75,10,"2",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"83","Anthropogenic damage","Rich Br",14,100,0,"2",NA,100,5,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"84","Anthropogenic damage","David V",14,0,100,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"85","Anthropogenic damage","David L",14,60,0,"4","A high percentage of damage is bad. Small to no damage is good. In between is a variation of acceptable.",50,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"86","Anthropogenic damage","David L",14,100,0,"4","A high percentage of damage is bad. Small to no damage is good. In between is a variation of acceptable.",50,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"87","Anthropogenic damage","Martin Hu",14,0,100,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"88","Anthropogenic damage","Martin Hu",14,5,90,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"89","Anthropogenic damage","Kylie Jo-Ma",14,75,25,"3","Damage implies that it is inherently negative - human impacts are often negative but not necessarily?!",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"90","Anthropogenic damage","Kylie Jo-Ma",14,100,0,"3","Damage implies that it is inherently negative - human impacts are often negative but not necessarily?!",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"91","Anthropogenic damage","Martin Hu",14,20,30,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"92","Anthropogenic damage","Martin Hu",14,25,20,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"93","Anthropogenic damage","Martin Hu",14,30,15,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"94","Anthropogenic damage","Martin Hu",14,35,10,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"95","Anthropogenic damage","Martin Hu",14,40,5,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"96","Anthropogenic damage","Martin Hu",14,45,4,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"97","Anthropogenic damage","David L",14,15,100,"4","A high percentage of damage is bad. Small to no damage is good. In between is a variation of acceptable.",50,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"98","Anthropogenic damage","Martin Hu",14,55,2,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"99","Anthropogenic damage","Martin Hu",14,60,1,"3","Damage is damage and the less the better. Condition probably drops off very quickly with % area damaged but it does depnd on the intensity of that damage. A low level of damage across the whole site might not be as bad as severe damage across 25% of the site.",80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"100","Anthropogenic damage","Iain Mo",14,20,30,NA,"Depending on the cause of damage, impacts could be significant even if only a small proportion of the wood is affected - then with a correlative relationship after an initial hike",50,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"101","Anthropogenic damage","Iain Mo",14,40,10,NA,"Depending on the cause of damage, impacts could be significant even if only a small proportion of the wood is affected - then with a correlative relationship after an initial hike",50,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"102","Anthropogenic damage","Iain Mo",14,60,0,NA,"Depending on the cause of damage, impacts could be significant even if only a small proportion of the wood is affected - then with a correlative relationship after an initial hike",50,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"103","Anthropogenic damage","Iain Mo",14,80,0,NA,"Depending on the cause of damage, impacts could be significant even if only a small proportion of the wood is affected - then with a correlative relationship after an initial hike",50,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"104","Anthropogenic damage","Iain Mo",14,100,0,NA,"Depending on the cause of damage, impacts could be significant even if only a small proportion of the wood is affected - then with a correlative relationship after an initial hike",50,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"105","Anthropogenic damage","Bob Epsom",14,20,75,"3","Woodland condition will deteriate quickly with anthropogenic damage",70,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"106","Anthropogenic damage","Bob Epsom",14,40,50,"3","Woodland condition will deteriate quickly with anthropogenic damage",70,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"107","Anthropogenic damage","Bob Epsom",14,60,25,"3","Woodland condition will deteriate quickly with anthropogenic damage",70,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"108","Anthropogenic damage","Bob Epsom",14,80,0,"3","Woodland condition will deteriate quickly with anthropogenic damage",70,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"109","Anthropogenic damage","Bob Epsom",14,100,0,"3","Woodland condition will deteriate quickly with anthropogenic damage",70,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"110","Anthropogenic damage","Liam Pl",14,80,5,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"111","Anthropogenic damage","Liam Pl",14,90,2.5,"3","generally linear decline in condition, decline steepening once significant/critical area is impacted enough to decline functioning across whole wood",75,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"112","Anthropogenic damage","Karen Ho",14,0,100,"2",NA,80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"113","Anthropogenic damage","Karen Ho",14,10,90,"2",NA,80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"114","Anthropogenic damage","Karen Ho",14,30,50,"2",NA,80,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"115","Anthropogenic damage","Mick Br",14,0,100,"3","Negative relation ship between anthropgenic damage and condition",NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"116","Anthropogenic damage","Mick Br",14,50,25,"3","Negative relation ship between anthropgenic damage and condition",NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"117","Anthropogenic damage","Mick Br",14,100,0,"3","Negative relation ship between anthropgenic damage and condition",NA,NA,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"118","Anthropogenic damage","David V",14,75,5,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"119","Anthropogenic damage","David V",14,100,0,"3",NA,12.5,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"120","Anthropogenic damage","Dean K",14,10,80,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"121","Anthropogenic damage","Dean K",14,20,60,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"122","Anthropogenic damage","Dean K",14,30,50,"4",NA,100,4,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"123","Anthropogenic damage","Sonia",14,0,100,"2","Condition deteriorates with the increase in anthropogenic damage.",60,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"124","Anthropogenic damage","Sonia",14,20,50,"2","Condition deteriorates with the increase in anthropogenic damage.",60,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"125","Anthropogenic damage","Sonia",14,40,30,"2","Condition deteriorates with the increase in anthropogenic damage.",60,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"126","Anthropogenic damage","Sonia",14,60,10,"2","Condition deteriorates with the increase in anthropogenic damage.",60,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"127","Anthropogenic damage","Sonia",14,80,0,"2","Condition deteriorates with the increase in anthropogenic damage.",60,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"128","Anthropogenic damage","Sonia",14,100,0,"2","Condition deteriorates with the increase in anthropogenic damage.",60,2,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"129","Anthropogenic damage","Saul H",14,0,100,"3","I feel that even a small percentage of the kinds of damage sdicussed will have a signficant impact on conditon - 5% is a lot of woodland, maybe needs qa finer grain to draw out an intermediate category 2-5%?",66.6666666666667,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"130","Anthropogenic damage","Saul H",14,2,50,"3","I feel that even a small percentage of the kinds of damage sdicussed will have a signficant impact on conditon - 5% is a lot of woodland, maybe needs qa finer grain to draw out an intermediate category 2-5%?",66.6666666666667,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
"131","Anthropogenic damage","Saul H",14,5,30,"3","I feel that even a small percentage of the kinds of damage sdicussed will have a signficant impact on conditon - 5% is a lot of woodland, maybe needs qa finer grain to draw out an intermediate category 2-5%?",66.6666666666667,3,"Anthropogenic damage","Anthropogenic damage","Percentage of woodland with signs of damage"
